+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no | layer_type |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
| 301  |   147    |    relu    |  (14, 14)  |  (14, 14)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 302  |   148    |   conv2d   |  (14, 14)  |  (14, 14)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 306  |   149    |    relu    |  (14, 14)  |  (14, 14)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 307  |   150    |   conv2d   |  (14, 14)  |  (14, 14)  |         800         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 309  |   151    |    relu    |  (14, 14)  |  (14, 14)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 310  |   152    |   conv2d   |  (14, 14)  |  (14, 14)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 314  |   153    |    relu    |  (14, 14)  |  (14, 14)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 315  |   154    |   conv2d   |  (14, 14)  |  (14, 14)  |         832         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 317  |   155    |    relu    |  (14, 14)  |  (14, 14)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 318  |   156    |   conv2d   |  (14, 14)  |  (14, 14)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 322  |   157    |    relu    |  (14, 14)  |  (14, 14)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 323  |   158    |   conv2d   |  (14, 14)  |  (14, 14)  |         864         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 325  |   159    |    relu    |  (14, 14)  |  (14, 14)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 326  |   160    |   conv2d   |  (14, 14)  |  (14, 14)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 330  |   161    |    relu    |  (14, 14)  |  (14, 14)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 331  |   162    |   conv2d   |  (14, 14)  |  (14, 14)  |         896         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 333  |   163    |    relu    |  (14, 14)  |  (14, 14)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 334  |   164    |   conv2d   |  (14, 14)  |  (14, 14)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 338  |   165    |    relu    |  (14, 14)  |  (14, 14)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 339  |   166    |   conv2d   |  (14, 14)  |  (14, 14)  |         928         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 341  |   167    |    relu    |  (14, 14)  |  (14, 14)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 342  |   168    |   conv2d   |  (14, 14)  |  (14, 14)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 346  |   169    |    relu    |  (14, 14)  |  (14, 14)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 347  |   170    |   conv2d   |  (14, 14)  |  (14, 14)  |         960         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 349  |   171    |    relu    |  (14, 14)  |  (14, 14)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 350  |   172    |   conv2d   |  (14, 14)  |  (14, 14)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 354  |   173    |    relu    |  (14, 14)  |  (14, 14)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 355  |   174    |   conv2d   |  (14, 14)  |  (14, 14)  |         992         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 357  |   175    |    relu    |  (14, 14)  |  (14, 14)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 358  |   176    |   conv2d   |  (14, 14)  |  (14, 14)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
